"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","rt","stimulus","response","task","correct_response","correct"
"true","false","[]","[]","[]","preload","0","2.1.0","3","","","","","",""
"","","","","","html-keyboard-response","1","2.1.0","10881","10876","Welcome to the Experiment. Press any key to begin.","b","","",""
"","","","","","html-keyboard-response","2","2.1.0","15019","4138","
            <p> In this experiment, a circle will appear in the center of the screen. </p> <p> If the circle is <strong>blue</strong>, press the letter F on the keyboard as fast as you can. </p> <p> If the circle is <strong>orange</strong>, press the letter J as fast as you can. </p>
            <div style='width: 700px;'>
            <div style='float: left;'><img src='img/blue.png'></img>
            <p class='small'><strong>Press the F key</strong></p></div>
            <div style='float: right;'><img src='img/orange.png'></img>
            <p class='small'><strong>Press the J key</strong></p></div>
            </div>
            <p>Press any key to begin.</p>
            ","c","","",""
"","","","","","html-keyboard-response","3","2.1.0","18278","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","4","2.1.0","18746","467","img/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","5","2.1.0","20263","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","6","2.1.0","20531","268","img/blue.png","j","response","f","false"
"","","","","","html-keyboard-response","7","2.1.0","21033","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","8","2.1.0","21499","464","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","9","2.1.0","23001","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","10","2.1.0","23287","284","img/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","11","2.1.0","24301","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","12","2.1.0","24570","268","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","13","2.1.0","24821","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","14","2.1.0","25225","403","img/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","15","2.1.0","26481","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","16","2.1.0","26773","293","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","17","2.1.0","27276","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","18","2.1.0","27606","328","img/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","19","2.1.0","28861","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","20","2.1.0","29198","337","img/orange.png","j","response","j","true"
"","","","","","html-keyboard-response","21","2.1.0","30952","null","<div style=""font-size:60px;"">+</div>","null","fixation","",""
"","","","","","image-keyboard-response","22","2.1.0","31347","394","img/blue.png","f","response","f","true"
"","","","","","html-keyboard-response","23","2.1.0","35613","4265","<p>You responded correctly on 90% of the trials. </p><p>Your average response time was 360ms.</p><p>Press any key to complete the experiment. Thankyou!</p>"," ","","",""
